S-20D Google 7 0.7959183673469388 S:32.0, I:0.0, D:17.0
S-20D Kaldi 7 0.673469387755102 S:46.0, I:1.0, D:3.0
S-20D Google 8 0.5217391304347826 S:18.0, I:0.0, D:5.0
S-20D Kaldi 8 0.43478260869565216 S:19.0, I:0.0, D:4.0
S-20D Google 9 0.6265060240963856 S:66.0, I:2.0, D:17.0
S-20D Kaldi 9 0.6385542168674698 S:75.0, I:7.0, D:8.0
S-20D Google 10 0.6057692307692307 S:82.0, I:0.0, D:22.0
S-20D Kaldi 10 0.5673076923076923 S:95.0, I:4.0, D:9.0
S-20D Google 11 0.7066666666666667 S:64.0, I:0.0, D:11.0
S-20D Kaldi 11 0.6 S:69.0, I:3.0, D:6.0
S-21A Google 0 0.791970802919708 S:162.0, I:0.0, D:112.0
S-21A Kaldi 0 0.6605839416058394 S:209.0, I:0.0, D:65.0
S-21A Google 1 0.7171717171717171 S:175.0, I:0.0, D:122.0
S-21A Kaldi 1 0.5892255892255892 S:233.0, I:0.0, D:64.0
S-21A Google 2 0.7488151658767772 S:122.0, I:0.0, D:89.0
S-21A Kaldi 2 0.5592417061611374 S:177.0, I:5.0, D:34.0
S-21A Google 3 0.7243589743589743 S:299.0, I:0.0, D:169.0
S-21A Kaldi 3 0.5555555555555556 S:371.0, I:3.0, D:97.0
S-21A Google 4 0.7545454545454545 S:338.0, I:0.0, D:212.0
S-21A Kaldi 4 0.6163636363636363 S:427.0, I:7.0, D:123.0
S-21A Google 5 0.7891156462585034 S:184.0, I:0.0, D:110.0
S-21A Kaldi 5 0.6394557823129252 S:221.0, I:1.0, D:73.0
S-21A Google 6 0.7314814814814815 S:63.0, I:0.0, D:45.0
S-21A Kaldi 6 0.6203703703703703 S:79.0, I:0.0, D:29.0
S-21A Google 7 0.65 S:24.0, I:0.0, D:16.0
S-21A Kaldi 7 0.525 S:34.0, I:0.0, D:6.0
S-21A Google 8 0.5581395348837209 S:30.0, I:0.0, D:13.0
S-21A Kaldi 8 0.46511627906976744 S:39.0, I:1.0, D:4.0
S-21A Google 9 0.7555555555555555 S:26.0, I:0.0, D:19.0
S-21A Kaldi 9 0.6 S:33.0, I:0.0, D:12.0
S-21A Google 10 0.6789473684210526 S:133.0, I:0.0, D:57.0
S-21A Kaldi 10 0.5263157894736842 S:159.0, I:1.0, D:31.0
S-21A Google 11 0.7379679144385026 S:110.0, I:0.0, D:77.0
S-21A Kaldi 11 0.6737967914438503 S:134.0, I:0.0, D:53.0
S-22B Google 0 0.632 S:161.0, I:2.0, D:89.0
S-22B Kaldi 0 0.46 S:209.0, I:2.0, D:41.0
S-22B Google 1 0.5643939393939394 S:190.0, I:0.0, D:74.0
S-22B Kaldi 1 0.4810606060606061 S:233.0, I:1.0, D:31.0
S-22B Google 2 0.552547770700637 S:473.0, I:4.0, D:155.0
S-22B Kaldi 2 0.43630573248407645 S:558.0, I:10.0, D:70.0
S-22B Google 3 0.5714285714285714 S:189.0, I:0.0, D:91.0
S-22B Kaldi 3 0.4107142857142857 S:241.0, I:2.0, D:39.0
S-22B Google 4 0.6186666666666667 S:247.0, I:0.0, D:128.0
S-22B Kaldi 4 0.456 S:310.0, I:0.0, D:65.0
S-22B Google 5 0.5960591133004927 S:282.0, I:2.0, D:124.0
S-22B Kaldi 5 0.4482758620689655 S:362.0, I:4.0, D:44.0
S-22B Google 6 0.6388888888888888 S:25.0, I:0.0, D:11.0
S-22B Kaldi 6 0.4166666666666667 S:30.0, I:0.0, D:6.0
S-22B Google 7 0.5029239766081871 S:145.0, I:0.0, D:26.0
S-22B Kaldi 7 0.4269005847953216 S:158.0, I:1.0, D:13.0
S-22B Google 8 0.5619834710743802 S:180.0, I:1.0, D:62.0
S-22B Kaldi 8 0.43388429752066116 S:215.0, I:2.0, D:27.0
S-22B Google 9 0.43137254901960786 S:37.0, I:0.0, D:14.0
S-22B Kaldi 9 0.3333333333333333 S:44.0, I:1.0, D:7.0
S-22B Google 10 0.518348623853211 S:175.0, I:0.0, D:43.0
S-22B Kaldi 10 0.38990825688073394 S:196.0, I:2.0, D:22.0
S-22B Google 11 0.543778801843318 S:167.0, I:2.0, D:50.0
S-22B Kaldi 11 0.4009216589861751 S:202.0, I:3.0, D:15.0
S-23C Google 0 0.4431137724550898 S:139.0, I:0.0, D:28.0
S-23C Kaldi 0 0.3712574850299401 S:158.0, I:1.0, D:9.0
S-23C Google 1 0.5933014354066986 S:161.0, I:1.0, D:48.0
S-23C Kaldi 1 0.4880382775119617 S:186.0, I:3.0, D:23.0
S-23C Google 2 0.5300546448087432 S:156.0, I:1.0, D:27.0
S-23C Kaldi 2 0.5081967213114754 S:161.0, I:15.0, D:22.0
S-23C Google 3 0.668141592920354 S:166.0, I:0.0, D:60.0
S-23C Kaldi 3 0.5619469026548672 S:197.0, I:2.0, D:29.0
S-23C Google 4 0.594758064516129 S:360.0, I:0.0, D:136.0
S-23C Kaldi 4 0.42943548387096775 S:439.0, I:0.0, D:57.0
S-23C Google 5 0.5217391304347826 S:229.0, I:1.0, D:70.0
S-23C Kaldi 5 0.4682274247491639 S:269.0, I:2.0, D:30.0
S-23C Google 6 0.4772727272727273 S:31.0, I:0.0, D:13.0
S-23C Kaldi 6 0.4318181818181818 S:40.0, I:0.0, D:4.0
S-23C Google 7 0.4722222222222222 S:65.0, I:0.0, D:7.0
S-23C Kaldi 7 0.3333333333333333 S:70.0, I:0.0, D:2.0
S-23C Google 8 0.4782608695652174 S:71.0, I:1.0, D:21.0
S-23C Kaldi 8 0.43478260869565216 S:80.0, I:3.0, D:12.0
S-23C Google 9 0.48148148148148145 S:23.0, I:0.0, D:4.0
S-23C Kaldi 9 0.4444444444444444 S:26.0, I:1.0, D:1.0
S-23C Google 10 0.6666666666666666 S:31.0, I:0.0, D:17.0
S-23C Kaldi 10 0.3958333333333333 S:47.0, I:0.0, D:1.0
S-23C Google 11 0.5555555555555556 S:117.0, I:0.0, D:36.0
S-23C Kaldi 11 0.37254901960784315 S:138.0, I:0.0, D:15.0
S-24D Google 0 0.6398467432950191 S:180.0, I:0.0, D:81.0
S-24D Kaldi 0 0.5057471264367817 S:232.0, I:1.0, D:29.0
S-24D Google 1 0.5833333333333334 S:209.0, I:1.0, D:67.0
S-24D Kaldi 1 0.42391304347826086 S:245.0, I:4.0, D:31.0
S-24D Google 2 0.5994962216624685 S:317.0, I:3.0, D:80.0
S-24D Kaldi 2 0.4534005037783375 S:354.0, I:8.0, D:43.0
S-24D Google 3 0.5607287449392713 S:398.0, I:2.0, D:96.0
S-24D Kaldi 3 0.46963562753036436 S:449.0, I:10.0, D:45.0
S-24D Google 4 0.5415430267062314 S:507.0, I:1.0, D:167.0
S-24D Kaldi 4 0.413946587537092 S:621.0, I:13.0, D:53.0
S-24D Google 5 0.5930902111324377 S:401.0, I:2.0, D:120.0
S-24D Kaldi 5 0.43570057581573896 S:460.0, I:6.0, D:61.0
S-24D Google 6 0.6555555555555556 S:62.0, I:0.0, D:28.0
